product_id,product_name,description,category_name,category_slug,category_url,category_image_url,brand,price,original_price,currency,stock,rating,reviews_count,thumbnail_url,image_urls,tags,color,size,material,product_url,source,searchable_text
1,Ghế A2501,"Không cần quá cầu kỳ và bề thế, chiếc ghế văn phòng lưới A2501 nhỏ gọn và thoáng mát đủ để bạn hài lòng. Ghế văn phòng A2501 được thiết kế đặc biệt với các tính năng tối ưu, mang lại sự thoải mái tối đa cho người dùng. Tựa đầu 2D điều chỉnh linh hoạt là một trong những tính năng nổi bật của ghế A2501. Tựa đầu này có khả năng thay đổi độ cao và góc nghiêng, giúp hỗ trợ phần cổ và đầu người dùng một cách tối ưu. Đặc biệt là khi ngồi làm việc lâu dài, việc điều chỉnh tựa đầu cùng tựa lưng êm ái thật thoải mái. Ghế lưới toàn phần của A2501 cũng là một điểm cộng đáng chú ý. Chất liệu lưới được thiết kế không bí bách, giảm thiểu mồ hôi khi ngồi lâu. Điều này là giải pháp lý tưởng cho những ai có cơ địa ra mồ hôi. Bên cạnh đó, phần ghế ngồi và tựa lưng được trang bị cơ chế bướm T=2.5mm, hỗ trợ tối đa cho vùng lưng và giúp xua tan cảm giác đau nhức khi ngồi lâu. Và đặc biệt để người ngồi thỏa mái trong nhiều giờ, chiếc ghế cần có kích thước chuẩn với vóc dáng. Vì thế tùy theo chiều cao và bàn ",Ghế Xoay Nhân Viên,ghe-xoay-nhan-vien,https://hoaphatnoithat.vn//ghe-xoay-nhan-vien,,DSGGROUP,1696000,,VND,85,"4,2",126,https://hoaphatnoithat.vn/upload/sanpham/ghe-a2501-1549-0.jpg,"[""https://hoaphatnoithat.vn/upload/sanpham/large/ghe-a2501-1549-0.jpg""]","[""A2501"",""ghế"",""a2501"",""dsggroup""]","[""Nhựa đen - Đệm tựa lưới đen"",""Nhựa xám - Đệm tựa lưới xám"",""Khung nhựa trắng - Đệm tựa lưới màu xanh, tay nhựa xanh""]",,"[""lưới"",""kim loại"",""đệm""]",https://hoaphatnoithat.vn/ghe-a2501.html,hoaphatnoithat.vn,"Ghế A2501 A2501 DSGGROUP Không cần quá cầu kỳ và bề thế, chiếc ghế văn phòng lưới A2501 nhỏ gọn và thoáng mát đủ để bạn hài lòng. Ghế văn phòng A2501 được thiết kế đặc biệt với các tính năng tối ưu, mang lại sự thoải mái tối đa cho người dùng. Tựa đầu 2D điều chỉnh linh hoạt là một trong những tính năng nổi bật của ghế A250 ghế a2501 dsggroup Nhựa đen - Đệm tựa lưới đen Nhựa xám - Đệm tựa lưới xám Khung nhựa trắng - Đệm tựa lưới màu xanh, tay nhựa xanh lưới kim loại đệm"
2,Ghế lưới C350HT,Ghế lưới C350HT,Ghế Xoay Nhân Viên,ghe-xoay-nhan-vien,https://hoaphatnoithat.vn//ghe-xoay-nhan-vien,,DSGGROUP,3107920,,VND,80,"4,6",96,https://hoaphatnoithat.vn/upload/sanpham/ghe-luoi-c350ht-1970-0.jpg,"[""https://hoaphatnoithat.vn/upload/sanpham/large/ghe-luoi-c350ht-1970-0.jpg""]","[""C350HT"",""ghế"",""lưới"",""c350ht"",""dsggroup""]",,,"[""lưới"",""vải lưới"",""gỗ"",""sắt"",""nhựa"",""đệm mút"",""đệm"",""chân sắt""]",https://hoaphatnoithat.vn/ghe-luoi-c350ht.html,hoaphatnoithat.vn,Ghế lưới C350HT C350HT DSGGROUP ghế lưới c350ht dsggroup vải lưới gỗ sắt nhựa đệm mút đệm chân sắt
3,Ghế lưới C350T,Ghế lưới C350T,Ghế Xoay Nhân Viên,ghe-xoay-nhan-vien,https://hoaphatnoithat.vn//ghe-xoay-nhan-vien,,DSGGROUP,2608660,,VND,69,"4,9",144,https://hoaphatnoithat.vn/upload/sanpham/ghe-luoi-c350t-1969-0.jpg,"[""https://hoaphatnoithat.vn/upload/sanpham/large/ghe-luoi-c350t-1969-0.jpg""]","[""C350T"",""ghế"",""lưới"",""c350t"",""dsggroup""]",,,"[""lưới"",""vải lưới"",""nhựa"",""đệm""]",https://hoaphatnoithat.vn/ghe-luoi-c350t.html,hoaphatnoithat.vn,Ghế lưới C350T C350T DSGGROUP ghế lưới c350t dsggroup vải lưới nhựa đệm
4,Ghế B611,"Ghế văn phòng B611 lưng trung, tựa lưới, đệm mút đúc bọc vải, tay nhựa cố định, chân ghế mạ hoặc nhựa cách điệu 5 cánh cao cấp",Ghế Xoay Nhân Viên,ghe-xoay-nhan-vien,https://hoaphatnoithat.vn//ghe-xoay-nhan-vien,,DSGGROUP,1186140,,VND,89,"4,9",47,https://hoaphatnoithat.vn/upload/sanpham/ghe-b611-1338-0.jpg,"[""https://hoaphatnoithat.vn/upload/sanpham/large/ghe-b611-1338-0.jpg""]","[""B611"",""ghế"",""b611"",""dsggroup""]",,,"[""lưới"",""nhựa"",""thép"",""đệm mút"",""đệm""]",https://hoaphatnoithat.vn/ghe-b611.html,hoaphatnoithat.vn,"Ghế B611 B611 DSGGROUP Ghế văn phòng B611 lưng trung, tựa lưới, đệm mút đúc bọc vải, tay nhựa cố định, chân ghế mạ hoặc nhựa cách điệu 5 cánh cao cấp ghế b611 dsggroup lưới nhựa thép đệm mút đệm"
5,Ghế D2530M,"Ghế văn phòng chân xoay D2530M lưng trung, đệm tựa bọc PVC dày dặn, chân tay ghế bằng nhôm. Màu sắc: đen. Tựa như một cổng kết nối giữa nét hiện đại và truyền t",Ghế Xoay Nhân Viên,ghe-xoay-nhan-vien,https://hoaphatnoithat.vn//ghe-xoay-nhan-vien,,DSGGROUP,1747940,,VND,59,"4,8",7,https://hoaphatnoithat.vn/upload/sanpham/ghe-d2530m-1458-0.jpg,"[""https://hoaphatnoithat.vn/upload/sanpham/large/ghe-d2530m-1458-0.jpg""]","[""D2530M"",""ghế"",""d2530m"",""dsggroup""]",,,"[""PVC"",""nhựa"",""đệm""]",https://hoaphatnoithat.vn/ghe-d2530m.html,hoaphatnoithat.vn,"Ghế D2530M D2530M DSGGROUP Ghế văn phòng chân xoay D2530M lưng trung, đệm tựa bọc PVC dày dặn, chân tay ghế bằng nhôm. Màu sắc: đen. Tựa như một cổng kết nối giữa nét hiện đại và truyền t ghế d2530m dsggroup PVC nhựa đệm"
6,Ghế CH220B,"Ghế lưới văn phòng CH220B, tay chữ T, chân mạ sáng bóng. Kết cấu lưng lưới, phần lưng hơi cong giúp ôm sát lấy cột sống của người ngồi, mang đến sự thoải mái, c",Ghế Xoay Nhân Viên,ghe-xoay-nhan-vien,https://hoaphatnoithat.vn//ghe-xoay-nhan-vien,,DSGGROUP,1970540,,VND,59,"4,4",194,https://hoaphatnoithat.vn/upload/sanpham/ghe-ch220b-1350-0.jpg,"[""https://hoaphatnoithat.vn/upload/sanpham/large/ghe-ch220b-1350-0.jpg""]","[""CH220B"",""ghế"",""ch220b"",""dsggroup""]",,,"[""lưới"",""sắt"",""nhựa"",""đệm"",""chân sắt""]",https://hoaphatnoithat.vn/ghe-ch220b.html,hoaphatnoithat.vn,"Ghế CH220B CH220B DSGGROUP Ghế lưới văn phòng CH220B, tay chữ T, chân mạ sáng bóng. Kết cấu lưng lưới, phần lưng hơi cong giúp ôm sát lấy cột sống của người ngồi, mang đến sự thoải mái, c ghế ch220b dsggroup lưới sắt nhựa đệm chân sắt"
7,Ghế CH189B,"Ghế xoay CH189B tựa và đệm bọc vải lưới, tay nhựa chữ T, chân mạ . Khung tựa nhựa bọc vải lưới êm ái, thoáng mát, độ đàn hồi cao, mang đến sự dễ chịu, mát mẻ ch",Ghế Xoay Nhân Viên,ghe-xoay-nhan-vien,https://hoaphatnoithat.vn//ghe-xoay-nhan-vien,,DSGGROUP,1647240,,VND,69,"4,3",129,https://hoaphatnoithat.vn/upload/sanpham/ghe-ch189b-1349-0.jpg,"[""https://hoaphatnoithat.vn/upload/sanpham/large/ghe-ch189b-1349-0.jpg""]","[""CH189B"",""ghế"",""ch189b"",""dsggroup""]",,,"[""lưới"",""vải lưới"",""nhựa"",""đệm""]",https://hoaphatnoithat.vn/ghe-ch189b.html,hoaphatnoithat.vn,"Ghế CH189B CH189B DSGGROUP Ghế xoay CH189B tựa và đệm bọc vải lưới, tay nhựa chữ T, chân mạ . Khung tựa nhựa bọc vải lưới êm ái, thoáng mát, độ đàn hồi cao, mang đến sự dễ chịu, mát mẻ ch ghế ch189b dsggroup lưới vải lưới nhựa đệm"
8,Ghế A398M,"Ghế xoay văn phòng A398M, đệm ngồi mút bọc vải, tựa lưng lưới, tay nhựa cố định, chân thép mạ có gắn bánh xe nilon bên dưới",Ghế Xoay Nhân Viên,ghe-xoay-nhan-vien,https://hoaphatnoithat.vn//ghe-xoay-nhan-vien,,DSGGROUP,1057880,,VND,95,"4,3",194,https://hoaphatnoithat.vn/upload/sanpham/ghe-a398m-1339-0.jpg,"[""https://hoaphatnoithat.vn/upload/sanpham/large/ghe-a398m-1339-0.jpg""]","[""A398M"",""ghế"",""a398m"",""dsggroup""]",,,"[""lưới"",""nhựa"",""thép"",""đệm""]",https://hoaphatnoithat.vn/ghe-a398m.html,hoaphatnoithat.vn,"Ghế A398M A398M DSGGROUP Ghế xoay văn phòng A398M, đệm ngồi mút bọc vải, tựa lưng lưới, tay nhựa cố định, chân thép mạ có gắn bánh xe nilon bên dưới ghế a398m dsggroup lưới nhựa thép đệm"
9,Ghế C292,"Ghế lưới văn phòng C292 đệm mút bọc vải, tựa lưới chống tích nhiệt, chân tay nhựa. Chân ghế sử dụng chân xoay chất liệu nhựa cao cấp với khả năng chịu lực tốt,",Ghế Xoay Nhân Viên,ghe-xoay-nhan-vien,https://hoaphatnoithat.vn//ghe-xoay-nhan-vien,,DSGGROUP,1491420,,VND,74,"4,2",13,https://hoaphatnoithat.vn/upload/sanpham/ghe-c292-1340-0.jpg,"[""https://hoaphatnoithat.vn/upload/sanpham/large/ghe-c292-1340-0.jpg""]","[""C292"",""ghế"",""c292"",""dsggroup""]",,,"[""lưới"",""vải lưới"",""nhựa"",""thép"",""đệm mút"",""đệm""]",https://hoaphatnoithat.vn/ghe-c292.html,hoaphatnoithat.vn,"Ghế C292 C292 DSGGROUP Ghế lưới văn phòng C292 đệm mút bọc vải, tựa lưới chống tích nhiệt, chân tay nhựa. Chân ghế sử dụng chân xoay chất liệu nhựa cao cấp với khả năng chịu lực tốt, ghế c292 dsggroup lưới vải lưới nhựa thép đệm mút đệm"
10,Ghế C250,"Ghế xoay C250 tựa lưới, đệm bọc da simili cao cấp, chân ghế mạ sáng bóng. Phần chân xoay với chất liệu thép mạ chịu lực tốt, độ bền cao, dễ dàng vệ sinh lau chù",Ghế Xoay Nhân Viên,ghe-xoay-nhan-vien,https://hoaphatnoithat.vn//ghe-xoay-nhan-vien,,DSGGROUP,1558200,,VND,76,"4,9",74,https://hoaphatnoithat.vn/upload/sanpham/ghe-c250-1343-0.jpg,"[""https://hoaphatnoithat.vn/upload/sanpham/large/ghe-c250-1343-0.jpg""]","[""C250"",""ghế"",""c250"",""dsggroup""]",,,"[""lưới"",""nhựa"",""thép"",""đệm""]",https://hoaphatnoithat.vn/ghe-c250.html,hoaphatnoithat.vn,"Ghế C250 C250 DSGGROUP Ghế xoay C250 tựa lưới, đệm bọc da simili cao cấp, chân ghế mạ sáng bóng. Phần chân xoay với chất liệu thép mạ chịu lực tốt, độ bền cao, dễ dàng vệ sinh lau chù ghế c250 dsggroup lưới nhựa thép đệm"
